Order,Family,Family_English_name,Scientific_name,English_name_AviList,Range,IUCN_Red_List_Category,Species_code_Cornell_Lab
Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich,"desert to savanna plains of northeastern Africa, from northern Ethiopia, Djibouti, and Somalia southward through far southeastern South Sudan, and southeastern Kenya",VU,ostric3
Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich,,LC,ostric2
Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu,,NE,emu1
Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary,"New Guinea, including Aru Islands (off southwestern New Guinea) and northeastern Australia (northern Cape York Peninsula)",LC,soucas1
Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary,,LC,dwacas1
Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary,"lowlands of New Guinea, including Raja Ampat Islands (off western New Guinea) and Yapen (Cenderawasih Bay, off northwestern New Guinea)",LC,norcas1
Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi,"Kapiti, South, and formerly North islands (New Zealand)",NT,liskiw1
Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi,montane forest of northwestern South Island (New Zealand),VU,grskiw1
Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi,,VU,sobkiw1
Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi,"Okarito Forest (west coast of South Island, New Zealand)",VU,okbkiw1
Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi,North Island (New Zealand),VU,nibkiw1
Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea,,LC,lesrhe2
Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea,,NT,grerhe1
Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou,"Andes of Peru to northern Bolivia, Chile and northwestern Argentina",LC,puntin1
Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou,savanna of southwestern Argentina and southern Chile,LC,pattin1
Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou,,LC,quctin1
Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou,,LC,elctin1
