sciName,mainCommonName,order,family,continentDistribution,biogeographicRealm,iucnStatus,distributionNotes
Ornithorhynchus_anatinus,Platypus,Monotremata,Ornithorhynchidae,Oceania (Continent),Australasia,NT,"E Australia from NE Queensland through W New South Wales and Victoria, including King I and Tasmania. Distribution is primarily continuous within some catchments but dicontinuous or poorly known in others. Extinct in the Adelaide Hills and Mount Lofty Ranges in South Australia and may be extinct in various catchments throughout the rest of their distribution (Hawke et al. 2019). Introduced to E Kangaroo I."
Tachyglossus_aculeatus,Short-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,LC,"Continental Australia, including Tasmania, Groote Eylandt, and Bigge, Mua (Hitchcock et al. 2014), Dunk, Magnetic, Fraser, North Stradbroke, King, Flinders, and Kangaroo Is; coastal and highland regions of SE and E New Guinea (including Markham Valley), both C and S Papua New Guinea and SE Papua Province, Indonesia."
Zaglossus_attenboroughi,Attenborough's Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,CR,"Known from a single specimen and recent camera trap images and videos from Berg Rara Mt in the Cyclops Mts, extreme N Papua Province, Indonesia on New Guinea."
Zaglossus_bartoni,Eastern Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,VU,"Highlands of New Guinea, including the Central Range from the Paniai Lakes of C Papua Province, Indonesia to the SE peninsula of Papua New Guinea (including an isolated population in the Nanneau Mts, Oro Province), the Mts of the Huon Peninsula of Morobe Province, and the Foja Mts of Papua Province, extending to lower elevations on the S side of the Central Range."
Zaglossus_bruijnii,Western Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,CR,"The Vogelkop Peninsula of Papua Province, Indonesia on New Guinea, including Salawati I (where it is possibly extinct) and possibly Batanta and Waigeo Is (Helgen 2007). "
Caenolestes_caniventer,Gray-bellied Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,NT,"Andes of W Ecuador and NW Peru, S to San Andres de Cutervo, Cajamarca."
Caenolestes_condorensis,Condor Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,"Known only from the type locality in the Cordillera del Condor, Provincia Morona-Santiago, SE Ecuador, but likely extends into Peru in the same cordillera."
Caenolestes_convelatus,Blackish Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,Andes of WC Colombia and NW Ecuador.
Caenolestes_fuliginosus,Dusky Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,LC,"Andes Cordilleras Centrales, Orientales, and C Occidentalis of Colombia and extreme SW Venezuela and the Andes of C and N Ecuador."
Caenolestes_sangay,Sangay Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,"Five localities on the E side of the Andes of S Ecuador in Provincia Morona-Santiago (Tinguichaca, Zuñac, and Atillo) and Provincia Zamora-Chinchipe (Sabanilla and Tapichalaca)."
